"","Estimate"
"400",166835.58170826
"401",27551.0113815621
"402",10939.4852108788
"403",40499.968507493
"404",14400.3921126459
"405",12569.226657185
"406",66281.0746702747
"407",27360.0203653593
"408",22628.8578274467
"409",25990.5653197671
"410",24028.3884345617
"411",20116.204804395
"412",97224.8780208231
"413",33467.7000268461
"414",68679.00040684
"415",36742.5902667226
"416",33745.8090082153
"417",34266.3192753529
"418",81628.3100772392
"419",166335.918275051
"420",19015.3969788761
"421",21399.2185047836
"422",27518.3933000651
"423",69196.5504602905
"424",58444.1655883839
"425",17093.5597703908
"426",24168.6983571992
"427",35036.5440525324
"428",93807.7310608429
"429",51440.0763779547
"430",89460.8866059189
"431",25548.3755588469
"432",50999.3174263844
"433",20372.9786183905
"434",29381.6881989516
"435",40116.6405597144
"436",14364.7300339611
"437",12255.3735657539
"438",47598.2995966281
"439",19586.9932687864
"440",22720.0370826594
"441",74030.0027201839
"442",89556.1668692623
"443",19806.4977123195
"444",32674.4136663347
"445",39940.1690262494
"446",49310.5762063933
"447",63381.9581960459
"448",137898.210994575
"449",18172.4282655344
"450",13473.7909449677
"451",79007.7327050461
"452",39460.7433152363
"453",39255.9291388883
"454",12619.0368785206
"455",25996.4932101157
"456",40604.9646643236
"457",34672.8950618125
"458",27997.5454159085
"459",51177.7440979533
"460",47403.426655755
"461",66736.4788360311
"462",40135.9812273397
"463",23915.0750433347
"464",29609.8660135608
"465",31150.2580910678
"466",15131.3857403053
"467",30869.4510008201
"468",17565.2283996156
"469",48965.6161279417
"470",29949.7078930199
"471",38615.2443689278
"472",43105.2637166614
"473",55197.6188750587
"474",18135.7918172707
"475",8144.46934692659
"476",93349.1517472242
"477",61044.7808947678
"478",97788.3425889045
"479",33846.6821039646
"480",34980.1125678443
"481",59895.35946703
"482",15999.0282937408
"483",33445.9977765182
"484",76406.4480906039
"485",14647.7357548232
"486",26512.9304386187
"487",54204.3311454603
"488",68411.4542458287
"489",39514.8417592111
"490",39015.4864727896
"491",25353.0519558409
"492",18099.6095291339
"493",21875.0370314776
"494",45606.7553331626
"495",6262.5645425607
"496",80714.4485728659
"497",154315.389930581
"498",7287.57666887058
"499",97358.6699615001
"500",15443.6202808666
"501",97495.792916859
"502",60092.5389998511
"503",43061.3322675066
"504",21309.2384331809
"505",134163.070529708
"506",10799.5712413417
"507",27797.107233063
"508",8703.77804659842
"509",19096.1992956343
"510",18654.1190290237
"511",72160.1273374313
"512",114109.91155957
"513",68836.4933099677
"514",66215.2992575837
"515",20463.0418283044
"516",117323.513839704
"517",16685.8928480072
"518",62144.9853729123
"519",25193.0776920577
"520",19744.2150860635
"521",10571.4021834441
"522",24997.8857743222
"523",49637.484847808
"524",32663.0195006334
"525",37063.3403481152
"526",55460.43499867
"527",24044.1600930482
"528",45094.0911021176
"529",23143.562547525
"530",32513.0640176376
"531",69523.3260454728
"532",30104.5595772017
"533",113212.469320374
"534",53132.0291836603
"535",118431.941733424
"536",120868.887439493
"537",24397.0700127733
"538",20433.4041423569
"539",37543.3496111678
"540",162796.592608992
"541",15874.8901749123
"542",26216.879085857
"543",30150.6394085378
"544",39565.7591865877
"545",38779.7061495554
"546",13043.9258008437
"547",10120.0694576283
"548",21942.2375680404
"549",18017.232357338
"550",42791.1897105447
"551",88679.0221590985
"552",41175.2148079861
"553",49441.1214183063
"554",75727.9881852982
"555",26265.8742228847
"556",21953.4730896963
"557",47136.710072004
"558",49087.0873794866
"559",54219.9605471655
"560",56203.1615038809
"561",36559.4812517698
"562",164129.876403063
"563",66441.2974702593
"564",20298.7410880007
"565",73217.2713298725
"566",61203.7219253583
"567",30683.1195541009
"568",67741.647618882
"569",38484.404528356
"570",25212.9870868333
"571",11974.4626913242
"572",26227.5205581294
"573",58302.7697153874
"574",29093.308254459
"575",40012.950807799
"576",5557.05907393494
"577",74760.5638497351
"578",50201.6972104553
"579",26915.5322393052
"580",90626.7554950956
"581",51102.0695420891
"582",53965.4284022557
"583",32276.1247675028
"584",15992.2357125347
"585",26708.317618411
"586",7655.6807271927
"587",27957.0531054532
"588",34180.6763525302
"589",98487.8567164102
"590",28289.4952991196
"591",76953.2371809267
"592",17506.8428152612
"593",31065.0959644909
"594",21798.9077030046
"595",49124.6865720473
"596",13368.3272775614
"597",59395.0168923542
"598",130730.418243483
"599",66096.9685113225
"600",29317.1313484428
"601",73483.5279429054
"602",27551.1487449477
"603",29169.8915006864
"604",97304.4813673138
"605",64498.7763134739
"606",79952.4616527506
"607",36048.0574496908
"608",17005.7187178392
"609",38649.8069612095
"610",89275.6457665422
"611",83841.086521329
"612",43257.1501411858
"613",142900.596746379
"614",101619.566646846
"615",22480.8016510707
"616",23890.1097542182
"617",58226.7678375284
"618",32026.9133766994
"619",160137.162777067
"620",32615.3449050826
"621",63848.2322493009
"622",25204.0206988168
"623",104904.893356142
"624",22317.6380906673
"625",88198.9548348284
"626",12670.3096328325
"627",27880.0375166796
"628",25934.5222712145
"629",35299.991810616
"630",191989.148925354
"631",156574.795766471
"632",251959.824135878
"633",32937.9523541626
"634",12157.4036606151
"635",4344.911020862
"636",37902.232466484
"637",66093.1302409501
"638",37538.3217194022
"639",128961.51945795
"640",124770.014193586
"641",25894.4421391781
"642",7483.10142773624
"643",53675.3131859255
"644",39810.621073205
"645",29407.0461810153
"646",29309.2753217737
"647",81400.4370625072
"648",39798.2975692383
"649",37663.3033135805
"650",66674.0923514432
"651",9719.60173250651
"652",112429.611382415
"653",42597.7643222119
"654",41532.6949431954
"655",31866.9929615158
"656",151565.593047653
"657",43518.1378869317
"658",31161.4640051207
"659",46844.6204175211
"660",97293.8824396099
"661",18296.8958785084
"662",26195.8840737308
"663",15111.3753531455
"664",64467.2402951204
"665",18781.0719748458
"666",59438.0555078399
"667",34707.7229355361
"668",36856.397455783
"669",40253.7028543065
"670",110127.89786823
"671",26116.8513959359
"672",26457.3761250955
"673",21451.9972083309
"674",10963.2370458182
"675",75805.0117904069
"676",74999.692220413
"677",55977.8549405606
"678",20199.4922671426
"679",105440.721758691
"680",32388.0232989481
"681",63090.4062064055
"682",70056.2231645835
"683",12021.5683608115
"684",17993.3524727556
"685",13469.4088472161
"686",21637.7589187322
"687",42547.4434367362
"688",25362.7614835832
"689",24277.090667009
"690",57049.584366392
"691",60596.336814885
"692",63891.2445038043
"693",38814.1698099556
"694",32136.4323952138
"695",68429.0465710894
"696",33105.0730927951
"697",38791.0966055996
"698",13605.7788896698
"699",55189.9056386047
"700",56861.4660455174
"701",20623.2471636745
"702",50163.6602928794
"703",49941.0388955507
"704",38403.6465290337
"705",44976.6668741244
"706",31071.1118393265
"707",5986.2969407048
"708",33043.1390157287
"709",33843.6672268655
"710",20763.7249366714
"711",9737.66237519213
"712",34342.1082380885
"713",66779.889965282
"714",67452.5452531318
"715",47927.3863796002
"716",22332.8097573262
"717",104581.828033138
"718",29319.3383417651
"719",41584.1120984396
"720",17600.3309864992
"721",90549.9017647691
"722",7583.39183661246
"723",27158.7988395315
"724",44900.6979245784
"725",69065.8801979601
"726",45020.2967694217
"727",47732.9701323926
"728",69511.7761482115
"729",28550.466448379
"730",11982.9103436066
"731",95657.0875221888
"732",20233.2117728331
"733",18518.8578497352
"734",46937.2623648022
"735",55409.2886585743
"736",58321.8005548993
"737",288787.080932149
"738",13366.6409874315
"739",96002.996024086
"740",21537.3162246387
"741",31169.8022102022
"742",29817.1686486619
"743",30321.800194463
"744",32966.8472712346
"745",26052.3124558594
"746",29731.9282599802
"747",19528.0535271178
"748",31643.5809011602
"749",24876.5304232688
"750",17993.2464330859
"751",28046.1422582464
"752",7003.77696924005
"753",37409.8113515173
"754",25289.6413261332
"755",31078.0508803796
"756",44886.7153463666
"757",24220.4405311251
"758",133923.074889218
"759",123746.169330944
"760",31212.1138412874
"761",19727.9033422215
"762",19945.7415639689
"763",28749.3852795981
"764",37222.1255873366
"765",20129.3829319948
"766",35368.9456930789
"767",19687.5983966387
"768",207705.609208595
"769",78807.847477919
"770",79249.6765263231
"771",74227.4937356198
"772",27933.5303799248
"773",36935.4004358079
"774",37301.7001327541
"775",11166.9573879595
"776",87751.0130444981
"777",25642.1796128643
"778",28914.9287160344
"779",27441.5116459763
"780",83548.5658385246
"781",102801.944950489
"782",14874.1856020735
"783",52509.0456833501
"784",189254.115928603
"785",20010.7082573298
"786",24829.491421447
"787",39931.7394095287
"788",17889.8582446022
"789",52455.5423301455
"790",30391.089124546
"791",30540.6042240473
"792",57037.4672217542
"793",46069.8741245983
"794",69261.5700892144
"795",38581.4006056226
"796",42766.7457008994
"797",43472.454061907
"798",46244.8068712615
"799",67194.2128610691
"800",29492.9722900515
"801",11519.8822194966
"802",20507.9207320206
"803",18129.0250446314
"804",76511.7823636049
"805",47857.4739888684
"806",75244.3661067622
"807",47515.1231477724
"808",226995.685311863
"809",37761.2459117052
"810",16399.0779760274
"811",36570.6419299696
"812",162949.15704718
"813",28547.0154031522
"814",29709.0239672764
"815",20521.4869075648
"816",26763.3639051257
"817",100821.875521293
"818",15512.7227295619
"819",26807.7187604658
"820",36340.4370941742
"821",71905.1026173654
"822",36614.311783763
"823",15283.9023454816
"824",13229.8586261452
"825",24199.0811872791
"826",124099.604668886
"827",30828.9304540991
"828",14527.5721313271
"829",43839.2053869533
"830",23943.9170220682
"831",10713.5761871649
"832",62094.3531549199
"833",40248.1603115597
"834",80926.5108479611
"835",14968.543306769
"836",64749.2570571564
"837",71666.8507243182
"838",14521.8726052619
"839",56178.3104452948
"840",44962.3127404264
"841",8791.75098797269
"842",27799.8487841871
"843",22877.9837260274
"844",38184.3706247473
"845",38640.092847089
"846",82642.3168744236
"847",50953.5317563957
"848",50205.6829947222
"849",26569.320009922
"850",23917.9119055353
"851",41531.6987437851
"852",38413.3847371536
"853",33099.487198102
"854",23992.0654527018
"855",64325.0418192384
"856",23875.1137317597
"857",50546.8480455007
"858",25790.9826964701
"859",74763.9065715034
"860",17160.7423072997
"861",22341.7550903343
"862",61244.5191022087
"863",31398.1023436018
"864",54209.3277642115
"865",101406.824616679
"866",119965.910533368
"867",78237.8689272339
"868",27541.9701280969
"869",39676.3948378172
"870",56072.1570551856
"871",75590.0643121084
"872",145371.510246009
"873",83276.8169467455
"874",33848.9106689218
"875",25891.7068393988
"876",9126.13744043723
"877",60793.190617566
"878",33016.730681868
"879",64120.3019529996
"880",33080.6238272071
"881",99959.5076391117
"882",84957.5501071838
"883",25949.3436705609
"884",14110.388889559
"885",23961.4239887623
"886",66178.776184865
"887",64162.6023527722
"888",31071.3941439677
"889",8853.84647281267
"890",25342.6021360659
"891",105001.769310422
"892",7256.07908906947
"893",28213.329439489
"894",18016.2988997159
"895",45120.1824584239
"896",63845.0307720498
"897",25264.0023381842
"898",42179.9559595208
"899",52788.3923193004
"900",52834.7778864997
"901",18498.7146278365
"902",74719.0227960345
"903",76262.9432276851
"904",71902.4977364422
"905",26374.9233818093
"906",18778.3118221317
"907",79911.7495293498
"908",52744.162328945
"909",64323.7055207767
"910",27204.9285534999
"911",40926.7516957085
"912",112543.655067016
"913",77100.2712147915
"914",35096.5455313748
"915",81346.4140804381
"916",24970.9667040368
"917",123623.146046715
"918",23062.9842903283
"919",121202.853817842
"920",9774.49553605784
"921",63808.5538187668
"922",87224.7666670328
"923",37564.2548345725
"924",42891.9475346712
"925",93417.8733758155
"926",107871.784807212
"927",31568.8064933488
"928",32158.6771561413
"929",31459.7757416621
"930",57272.103733291
"931",40480.2794700215
"932",73023.2552970782
"933",21179.2657431286
"934",41702.3547428746
"935",18110.5065660589
"936",22854.5358291319
"937",16417.7096577996
"938",96422.966642137
"939",29353.6651811098
"940",44138.6158083953
"941",7398.67562168955
"942",38878.8412567702
"943",6300.94517465097
"944",68976.6498485079
"945",42047.4871140788
"946",40105.3644638151
"947",130416.407646758
"948",41149.5902600432
"949",15627.267111537
"950",16890.3595040498
"951",119692.596477896
"952",42704.7563296261
"953",35460.7662793925
"954",39774.4927178347
"955",27891.0069148612
"956",92221.8790622094
"957",46309.0392441492
"958",96345.8125822469
"959",13673.7387790051
"960",33168.2751369124
"961",82220.7718885798
"962",43779.6863008313
"963",126272.031839726
"964",20297.4222468194
"965",22655.829123955
"966",18158.5180601335
"967",6509.80747026277
"968",81662.6537689568
"969",97103.8523144268
"970",145234.238230032
"971",9867.90557740764
"972",33108.2796537479
"973",38757.3521452274
"974",34629.1524812429
"975",97650.5252368677
"976",6642.36877116404
"977",58569.0430147501
"978",56872.5123578273
"979",18789.3680630037
"980",37419.7067110774
"981",38122.8555796962
"982",17077.0286430413
"983",41675.895552799
"984",32204.459270362
"985",30650.7729630285
"986",78172.8530394087
"987",17556.7149861519
"988",48659.2630144207
"989",23016.2893771655
"990",49653.2221340373
"991",57930.8817275457
"992",51147.6672159379
"993",12120.8629987916
"994",41153.0742842272
"995",143558.271330444
"996",30374.4378547029
"997",20161.6246735593
"998",17360.0906953269
"999",99694.0428935756
"1000",7881.31143933821
"1001",22536.516533237
"1002",59167.5915080918
"1003",39094.4619336432
"1004",28821.4822468261
"1005",12952.9124799289
"1006",71093.0557888582
"1007",38929.8110695706
"1008",8208.00511255685
"1009",27239.8334009662
"1010",19642.4422376422
"1011",59255.458735937
"1012",27248.5269985063
"1013",26957.166658506
"1014",19744.7132943889
"1015",61008.2515355625
"1016",10401.0218739554
"1017",43481.8786469643
"1018",48670.5582032681
"1019",92386.5549653614
"1020",66205.8905534721
"1021",6561.12348711899
"1022",36228.9705387745
"1023",37633.2911092253
"1024",161236.261586419
"1025",261569.45491985
"1026",37041.8197219124
"1027",37799.4438527828
"1028",27193.9245921249
"1029",492198.365403102
"1030",22204.0838630984
"1031",20113.4615597216
"1032",13331.0838497361
"1033",26969.4850700188
"1034",70413.0850743372
"1035",23705.9065672662
"1036",36343.0339333564
"1037",24691.5305174494
"1038",127157.844217579
"1039",70171.6013104376
"1040",12731.517754661
"1041",58675.9898413823
"1042",13756.0332968668
"1043",9164.99948763928
"1044",25602.9536964616
"1045",21830.3012655915
"1046",10539.0208112044
"1047",29871.4210926485
"1048",10319.5325268199
"1049",28240.1171682537
"1050",23234.7040973188
"1051",13404.6918308542
"1052",53041.6676669153
"1053",94241.8448467721
"1054",34591.6046902421
"1055",77868.1113654054
"1056",27494.5446853234
"1057",69758.9434745621
"1058",42220.2629921856
"1059",8152.95131058345
"1060",18034.3569967612
"1061",35138.047681256
"1062",49846.3859035868
"1063",26163.6018592428
"1064",59732.0967292735
"1065",14656.0845327937
"1066",29847.5771323695
"1067",29856.4918431407
"1068",65553.1529372816
"1069",96455.9427526301
"1070",61427.0880662247
"1071",31493.7986526828
"1072",12613.0166321207
"1073",72153.9898741877
"1074",32160.9405118218
"1075",33006.574987964
"1076",56236.4605715518
"1077",37887.0951108669
"1078",22139.1948238803
"1079",39105.0081367326
"1080",17155.9872415786
"1081",47701.0041259674
"1082",17873.0298483696
"1083",33545.7241086318
"1084",25033.8696692377
"1085",100930.21440419
"1086",39519.3906543282
"1087",63378.704109284
"1088",12946.1696464692
"1089",23173.5126064161
"1090",53120.9224026761
"1091",32863.5814515229
"1092",19296.1328120696
"1093",21816.8723992168
"1094",30495.6380043142
"1095",10435.3528564792
"1096",10458.3261738403
"1097",95722.3345182264
"1098",137631.509675857
"1099",116705.273586817
"1100",108236.645800694
"1101",55938.2169126907
"1102",36058.9186116079
"1103",12772.9265708317
"1104",38359.6327069595
"1105",17778.0376530206
"1106",59917.0295878303
"1107",22217.0478823004
"1108",24045.8665307412
"1109",65539.7807169061
"1110",46956.6834827348
"1111",53319.9402552495
"1112",56841.1824305465
"1113",33509.3454423394
"1114",19199.5266005103
"1115",57710.8192918973
"1116",51391.748315677
"1117",39304.9521621682
"1118",23056.2015238097
"1119",16240.6508824324
"1120",17754.7711675205
"1121",41070.6984474226
"1122",32490.68701884
"1123",33603.1021812437
"1124",119526.23317053
"1125",91327.2904812161
"1126",13131.8105930848
"1127",97936.5794930743
"1128",77766.3060167004
"1129",96572.5039217965
"1130",78697.3752169797
"1131",47784.4851818551
"1132",16737.9392971665
"1133",7181.00631569213
"1134",129167.406942702
"1135",38531.6864463864
"1136",288581.803317224
"1137",19458.9078319135
"1138",123246.278219709
"1139",70951.2743454141
"1140",48971.2976287902
"1141",162008.287510523
"1142",14139.3204269335
"1143",9883.51152429024
"1144",10640.2572406083
"1145",76379.4165076108
"1146",20697.4896782812
"1147",25383.2874242108
"1148",17261.2063307404
"1149",11889.8290834413
"1150",100866.156855535
"1151",18723.2349000578
"1152",30605.8319183932
"1153",101924.266281879
"1154",81218.5096163967
"1155",146573.765561253
"1156",34532.1890119356
"1157",75518.2200917871
"1158",22143.4345810114
"1159",230680.870578488
"1160",17527.7196265529
"1161",21622.528044832
"1162",57942.1434811849
"1163",78289.2605842071
"1164",85549.0896275131
"1165",43234.1320679833
"1166",31921.0909650611
"1167",11999.4709106125
"1168",67264.2226174424
"1169",61556.4623908966
"1170",103389.856349871
"1171",7355.14645231078
"1172",100794.062056766
"1173",22907.0553412535
"1174",33659.8364563496
"1175",21383.9498717017
"1176",40946.5852809669
"1177",105368.981589772
"1178",202714.42874208
"1179",48856.5412876608
"1180",24495.281615936
"1181",14727.2741452301
"1182",33281.709453948
"1183",13006.377588829
"1184",49263.0817335829
"1185",118405.266967056
"1186",35850.9184981369
"1187",47111.0540844683
"1188",41184.2341479598
"1189",58431.1202386897
"1190",49996.0054342218
"1191",21826.4615132318
"1192",23600.5990582513
"1193",54361.7681304913
"1194",25719.1515626945
"1195",11731.1439580584
"1196",6436.38109357949
"1197",39149.3710670096
"1198",55638.3731358039
"1199",89141.2034681539
"1200",46773.1953837979
"1201",18750.1436745077
"1202",53559.1162261479
"1203",49309.2792091373
"1204",45449.0061778443
"1205",151841.023412379
"1206",56876.6926081684
"1207",56045.8273365379
"1208",156554.57971666
"1209",36487.6514983879
"1210",54503.8551074809
"1211",22763.1064320852
"1212",12972.2973837317
"1213",67958.423225761
"1214",22226.9723770207
"1215",155231.538630092
"1216",24667.1127836275
"1217",17553.1505090778
"1218",37338.9141114332
"1219",34884.0867419759
"1220",78397.8590705834
"1221",41875.01219745
"1222",13656.2036176866
"1223",28314.3431706928
"1224",100393.392154765
"1225",21710.5554315829
"1226",15474.4269109467
"1227",19458.9592846684
"1228",12749.3055524704
"1229",46454.8273287161
"1230",30296.6949210176
"1231",136959.638296772
"1232",85284.7863975614
"1233",169318.095959233
"1234",26114.445888952
"1235",94278.3599939315
"1236",102132.729483408
"1237",66357.1928885184
"1238",9737.41185932132
"1239",43721.2049689828
"1240",11264.7134791309
"1241",25450.294859684
"1242",20370.8270955141
"1243",30486.9178994588
"1244",118951.779011028
"1245",22769.2805600833
"1246",18323.2548195968
"1247",33174.980509706
"1248",108985.785239904
"1249",21234.1106457068
"1250",23601.1934719996
"1251",146442.796970323
"1252",25092.070680417
"1253",20831.6251847632
"1254",33652.8224115732
"1255",142973.188428929
"1256",11381.2177728525
"1257",53100.1657562146
"1258",24925.7425514411
"1259",102379.372811899
"1260",32845.1569298467
"1261",14499.687183803
"1262",40777.8373659035
"1263",63268.6427835745
"1264",32618.6468210234
"1265",68896.6414545984
"1266",37455.4567730491
